Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
43,4.4,3.2,1.3,0.2,1
17,5.4,3.9,1.3,0.4,1
47,5.1,3.8,1.6,0.2,1
139,6,3,4.8,1.8,3
101,6.3,3.3,6,2.5,3
16,5.7,4.4,1.5,0.4,1
52,6.4,3.2,4.5,1.5,2
150,5.9,3,5.1,1.8,3
123,7.7,2.8,6.7,2,3
124,6.3,2.7,4.9,1.8,3
50,5,3.3,1.4,0.2,1
6,5.4,3.9,1.7,0.4,1
35,4.9,3.1,1.5,0.1,1
91,5.5,2.6,4.4,1.2,2
71,5.9,3.2,4.8,1.8,2
37,5.5,3.5,1.3,0.2,1
31,4.8,3.1,1.6,0.2,1
10,4.9,3.1,1.5,0.1,1
22,5.1,3.7,1.5,0.4,1
77,6.8,2.8,4.8,1.4,2
57,6.3,3.3,4.7,1.6,2
48,4.6,3.2,1.4,0.2,1
132,7.9,3.8,6.4,2,3
19,5.7,3.8,1.7,0.3,1
108,7.3,2.9,6.3,1.8,3
72,6.1,2.8,4,1.3,2
14,4.3,3,1.1,0.1,1
119,7.7,2.6,6.9,2.3,3
28,5.2,3.5,1.5,0.2,1
1,5.1,3.5,1.4,0.2,1
12,4.8,3.4,1.6,0.2,1
67,5.6,3,4.5,1.5,2
114,5.7,2.5,5,2,3
92,6.1,3,4.6,1.4,2
111,6.5,3.2,5.1,2,3
88,6.3,2.3,4.4,1.3,2
84,6,2.7,5.1,1.6,2
68,5.8,2.7,4.1,1,2
141,6.7,3.1,5.6,2.4,3
4,4.6,3.1,1.5,0.2,1
2,4.9,3,1.4,0.2,1
110,7.2,3.6,6.1,2.5,3
66,6.7,3.1,4.4,1.4,2
106,7.6,3,6.6,2.1,3
74,6.1,2.8,4.7,1.2,2
86,6,3.4,4.5,1.6,2
29,5.2,3.4,1.4,0.2,1
40,5.1,3.4,1.5,0.2,1
62,5.9,3,4.2,1.5,2
58,4.9,2.4,3.3,1,2
120,6,2.2,5,1.5,3
133,6.4,2.8,5.6,2.2,3
135,6.1,2.6,5.6,1.4,3
99,5.1,2.5,3,1.1,2
15,5.8,4,1.2,0.2,1
75,6.4,2.9,4.3,1.3,2
100,5.7,2.8,4.1,1.3,2
137,6.3,3.4,5.6,2.4,3
128,6.1,3,4.9,1.8,3
26,5,3,1.6,0.2,1
89,5.6,3,4.1,1.3,2
64,6.1,2.9,4.7,1.4,2
107,4.9,2.5,4.5,1.7,3
116,6.4,3.2,5.3,2.3,3
142,6.9,3.1,5.1,2.3,3
13,4.8,3,1.4,0.1,1
79,6,2.9,4.5,1.5,2
76,6.6,3,4.4,1.4,2
8,5,3.4,1.5,0.2,1
97,5.7,2.9,4.2,1.3,2
7,4.6,3.4,1.4,0.3,1
56,5.7,2.8,4.5,1.3,2
118,7.7,3.8,6.7,2.2,3
70,5.6,2.5,3.9,1.1,2
78,6.7,3,5,1.7,2
